Looking in "D:\s\yt_courbe_niveau_imperial.gdb" 
Feature classes found: 424
         43925 function calls (41924 primitive calls) in 27.475 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 threading.py:638(Thread)
        2    0.000    0.000    0.000    0.000 fnmatch.py:81(translate)
        2    0.000    0.000    0.006    0.003 glob.py:18(glob)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        9    0.000    0.000    0.000    0.000 core.py:2430(__init__)
       16    0.000    0.000    0.000    0.000 ntpath.py:196(basename)
        9    0.000    0.000    0.000    0.000 _base.py:42(passthrough_attr)
        1    0.000    0.000    0.000    0.000 _mapping.py:317(DataDrivenPages)
        1    0.000    0.000    0.000    0.000 mixins.py:626(MapDocumentMixin)
        1    0.000    0.000    0.000    0.000 <string>:1(PageSize)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 _mapping.py:478(DataFrame)
        1    0.000    0.000    0.000    0.000 financial.py:8(<module>)
       49    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:654(__init__)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        1    0.000    0.000    0.000    0.000 ElementTree.py:171(Element)
        1    0.000    0.000    0.000    0.000 _iotools.py:236(NameValidator)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(Webmap)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 {_locale.setlocale}
       50    0.000    0.000    0.000    0.000 _base.py:553(<genexpr>)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
